end_date,p_wt,t_wt,success_rate
12/31/2020,0.36,0.64,0.517970797454137
12/31/2020,0.37,0.63,0.5185323848745788
12/31/2020,0.38,0.62,0.5189067764882067
12/31/2020,0.39,0.61,0.5187195806813928
12/31/2020,0.4,0.6,0.517970797454137
12/31/2020,0.41,0.5900000000000001,0.5174092100336952
12/31/2020,0.42,0.5800000000000001,0.5175964058405091
12/31/2020,0.43,0.5700000000000001,0.5190939722950206
12/31/2020,0.44,0.56,0.5185323848745788
12/31/2020,0.45,0.55,0.5175964058405091
12/31/2020,0.46,0.54,0.5172220142268813
12/31/2020,0.47,0.53,0.5183451890677648
12/31/2020,0.48,0.52,0.5187195806813928
12/31/2020,0.49,0.51,0.5192811681018346
12/31/2020,0.5,0.5,0.5189067764882067
12/31/2020,0.51,0.49,0.5183451890677648
12/31/2020,0.52,0.48,0.5172220142268813
12/31/2020,0.53,0.47,0.5166604268064395
12/31/2020,0.54,0.45999999999999996,0.5174092100336952
12/31/2020,0.55,0.44999999999999996,0.5170348184200674
12/31/2020,0.56,0.43999999999999995,0.5166604268064395
12/31/2020,0.57,0.43000000000000005,0.5168476226132535
12/31/2020,0.58,0.42000000000000004,0.5160988393859978
12/31/2020,0.59,0.41000000000000003,0.5168476226132535
12/31/2020,0.6,0.4,0.5174092100336952
12/31/2020,0.61,0.39,0.5172220142268813
12/31/2020,0.62,0.38,0.5164732309996256
12/31/2020,0.63,0.37,0.517970797454137
12/31/2020,0.64,0.36,0.517970797454137
12/31/2020,0.65,0.35,0.5175964058405091
12/31/2020,0.66,0.33999999999999997,0.5177836016473231
12/31/2020,0.67,0.32999999999999996,0.5181579932609509
12/31/2020,0.68,0.31999999999999995,0.517970797454137
12/31/2020,0.69,0.31000000000000005,0.5175964058405091
12/31/2020,0.7,0.30000000000000004,0.5177836016473231
12/31/2020,0.71,0.29000000000000004,0.5181579932609509
12/31/2020,0.72,0.28,0.5181579932609509
12/31/2020,0.73,0.27,0.517970797454137
12/31/2020,0.74,0.26,0.5175964058405091
12/31/2020,0.75,0.25,0.5175964058405091
12/31/2020,0.76,0.24,0.5172220142268813
12/31/2020,0.77,0.22999999999999998,0.5174092100336952
12/31/2020,0.78,0.21999999999999997,0.5175964058405091
12/31/2020,0.79,0.20999999999999996,0.5168476226132535
12/31/2020,0.8,0.19999999999999996,0.5166604268064395
12/31/2020,0.81,0.18999999999999995,0.5172220142268813
12/31/2020,0.82,0.18000000000000005,0.5172220142268813
12/31/2020,0.83,0.17000000000000004,0.5172220142268813
12/31/2020,0.84,0.16000000000000003,0.5175964058405091
12/31/2020,0.85,0.15000000000000002,0.5166604268064395
12/31/2020,0.86,0.14,0.5162860351928117
12/31/2020,0.87,0.13,0.5164732309996256
12/31/2020,0.88,0.12,0.5162860351928117
12/31/2020,0.89,0.10999999999999999,0.5162860351928117
12/31/2020,0.9,0.09999999999999998,0.5160988393859978
12/31/2020,0.91,0.08999999999999997,0.5162860351928117
12/31/2020,0.92,0.07999999999999996,0.5159116435791838
12/31/2020,0.93,0.06999999999999995,0.5157244477723699
12/31/2020,0.94,0.06000000000000005,0.5157244477723699
12/31/2020,0.95,0.050000000000000044,0.5159116435791838
12/31/2020,0.96,0.040000000000000036,0.5157244477723699
12/31/2020,0.97,0.030000000000000027,0.515537251965556
12/31/2020,0.98,0.020000000000000018,0.515537251965556
12/31/2020,0.99,0.010000000000000009,0.515537251965556
7/1/2020,0.0,1.0,0.5114431023521933
7/1/2020,0.01,0.99,0.5106484424666243
7/1/2020,0.02,0.98,0.512396694214876
7/1/2020,0.03,0.97,0.5127145581691036
